,Date,Time,Wellside Pressure,Measured Density,Slurry Rate,Pump Time
169,9/10/2020,5:41:11,8258.6170899,0.002545,48.574024,2.816666666666667
170,9/10/2020,5:41:12,8282.899512,0.004131,48.495888,2.8333333333333335
171,9/10/2020,5:41:13,8295.6612303,0.002891,48.443798,2.85
172,9/10/2020,5:41:14,8301.1675779,0.0015539999999999998,48.469848999999996,2.8666666666666667
173,9/10/2020,5:41:15,8300.6446293,0.0,48.678207,2.8833333333333333
174,9/10/2020,5:41:16,8297.125488,0.0019079999999999998,48.70425,2.9
175,9/10/2020,5:41:17,8313.6164058,0.006342,48.678207,2.9166666666666665
176,9/10/2020,5:41:18,8321.4747072,0.006342,48.678207,2.933333333333333
177,9/10/2020,5:41:19,8325.7549803,0.021417,48.600071,2.95
178,9/10/2020,5:41:20,8330.3446293,0.023744,48.574024,2.966666666666667
179,9/10/2020,5:41:21,8321.706737999999,0.029757,48.521935,2.9833333333333334
180,9/10/2020,5:41:22,8332.620117299999,0.025101,48.521935,3.0
181,9/10/2020,5:41:23,8379.759375,0.015931999999999998,48.678207,3.0166666666666666
182,9/10/2020,5:41:24,8451.075585600001,0.008173,48.652164,3.033333333333333
183,9/10/2020,5:41:25,8502.9741207,0.006987,49.147018,3.05
184,9/10/2020,5:41:26,8543.8441404,0.004566,50.214867,3.066666666666667
185,9/10/2020,5:41:27,8593.441699500001,0.004566,50.214867,3.0833333333333335
186,9/10/2020,5:41:28,8614.4774418,0.004573,50.865990000000004,3.1
187,9/10/2020,5:41:29,8629.3863279,0.003208,51.230618,3.1166666666666667
188,9/10/2020,5:41:30,8638.4381832,0.004971,51.49107,3.1333333333333333
189,9/10/2020,5:41:31,8629.2290043,0.00217,51.777565,3.15
190,9/10/2020,5:41:32,8630.2494144,0.003686,51.803612,3.1666666666666665
191,9/10/2020,5:41:33,8624.766797100001,0.0,51.803612,3.183333333333333
192,9/10/2020,5:41:34,8627.4131832,0.0,51.829659,3.2
193,9/10/2020,5:41:35,8620.7800779,0.0,51.725479,3.216666666666667
194,9/10/2020,5:41:36,8674.6508793,0.0,51.725479,3.2333333333333334
195,9/10/2020,5:41:37,8737.7326173,0.0,51.699432,3.25
196,9/10/2020,5:41:38,8791.25625,0.0,51.855701,3.2666666666666666
197,9/10/2020,5:41:39,8854.7071293,0.0,52.611008,3.283333333333333
198,9/10/2020,5:41:40,8868.222070200001,0.0,53.49654,3.3
199,9/10/2020,5:41:41,8907.8501952,0.0,54.303936,3.316666666666667
200,9/10/2020,5:41:42,8959.2644529,0.0,55.137375,3.3333333333333335
201,9/10/2020,5:41:43,8995.190625000001,0.0,55.215511,3.35
202,9/10/2020,5:41:44,9011.523339000001,0.0,55.50201,3.3666666666666667
203,9/10/2020,5:41:45,9048.737987999999,0.0,55.50201,3.3833333333333333
204,9/10/2020,5:41:46,9089.041995,0.0,55.97081800000001,3.4
205,9/10/2020,5:41:47,9131.383305,0.0,56.335453,3.4166666666666665
206,9/10/2020,5:41:48,9196.321293,0.0,56.700084999999994,3.433333333333333
207,9/10/2020,5:41:49,9240.005565000001,0.0,57.142844999999994,3.45
208,9/10/2020,5:41:50,9244.736721000001,0.0,57.663745999999996,3.466666666666667
209,9/10/2020,5:41:51,9300.827637,0.0,58.340923,3.4833333333333334
210,9/10/2020,5:41:52,9334.270017,0.0,58.497189,3.5
211,9/10/2020,5:41:53,9374.436036000001,0.0,58.966003,3.5166666666666666
212,9/10/2020,5:41:54,9391.835745,0.0,58.966003,3.533333333333333
213,9/10/2020,5:41:55,9424.961721000001,0.0,59.356674,3.55
214,9/10/2020,5:41:56,9424.727928,0.0,59.64316899999999,3.566666666666667
215,9/10/2020,5:41:57,9432.308493,0.0,59.92966800000001,3.5833333333333335
216,9/10/2020,5:41:58,9460.664649,0.0,60.111988000000004,3.6
217,9/10/2020,5:41:59,9499.481541,0.0,60.164069999999995,3.6166666666666667
218,9/10/2020,5:42:00,9555.582132,0.0,60.294304000000004,3.6333333333333333
219,9/10/2020,5:42:01,9597.96387,0.0,60.815201,3.65
220,9/10/2020,5:42:02,9640.683108,0.0,61.778866,3.6666666666666665
221,9/10/2020,5:42:03,9697.194144,0.0,61.778866,3.683333333333333
222,9/10/2020,5:42:04,9731.013578999999,0.0,62.221630000000005,3.7
223,9/10/2020,5:42:05,9744.53994,0.0,62.482082,3.716666666666667
224,9/10/2020,5:42:06,9747.359469,0.0,62.872761,3.7333333333333334
225,9/10/2020,5:42:07,9757.32012,0.0,63.107162,3.75
226,9/10/2020,5:42:08,9774.117774,0.0,63.159252,3.7666666666666666
227,9/10/2020,5:42:09,9755.716113,0.001966,63.029033999999996,3.783333333333333
228,9/10/2020,5:42:10,9769.890231000001,0.0024460000000000003,63.029033999999996,3.8
229,9/10/2020,5:42:11,9776.987406,0.00489,63.029033999999996,3.816666666666667
230,9/10/2020,5:42:12,9763.196481,0.00489,63.029033999999996,3.8333333333333335
231,9/10/2020,5:42:13,9759.172851000001,0.004605,63.055080000000004,3.85
232,9/10/2020,5:42:14,9768.949803000001,0.009047,63.133208999999994,3.8666666666666667
233,9/10/2020,5:42:15,9770.219829,0.010212,63.211346,3.8833333333333333
234,9/10/2020,5:42:16,9778.562406000001,0.009021,63.28948199999999,3.9
235,9/10/2020,5:42:17,9784.926567,0.003471,63.28948199999999,3.9166666666666665
236,9/10/2020,5:42:18,9779.724315000001,0.00249,63.263431999999995,3.933333333333333
237,9/10/2020,5:42:19,9777.360059999999,0.002618,63.185299,3.95
238,9/10/2020,5:42:20,9771.440625000001,0.0,63.185299,3.966666666666667
239,9/10/2020,5:42:21,9777.015531000001,0.0,63.185299,3.9833333333333334
240,9/10/2020,5:42:22,9782.196678,0.0,63.263431999999995,4.0
241,9/10/2020,5:42:23,9782.420805,0.0,63.28948199999999,4.016666666666667
242,9/10/2020,5:42:24,9773.879589,0.0,63.263431999999995,4.033333333333333
243,9/10/2020,5:42:25,9774.584469,0.0,63.185299,4.05
244,9/10/2020,5:42:26,9790.689554999999,0.0,63.159252,4.066666666666666
245,9/10/2020,5:42:27,9812.849418000002,0.0,63.237389,4.083333333333333
246,9/10/2020,5:42:28,9827.854983,0.0,63.367615,4.1
247,9/10/2020,5:42:29,9859.918356,0.0,63.810382999999995,4.116666666666666
248,9/10/2020,5:42:30,9887.927346,0.0,63.810382999999995,4.133333333333334
249,9/10/2020,5:42:31,9902.623536000001,0.0,64.122925,4.15
250,9/10/2020,5:42:32,9900.660942,1.29e-05,64.305237,4.166666666666667
251,9/10/2020,5:42:33,9910.606644,0.0,64.435455,4.183333333333334
252,9/10/2020,5:42:34,9920.325582,0.001009,64.487549,4.2
253,9/10/2020,5:42:35,9913.758399,0.000453,64.53965,4.216666666666667
254,9/10/2020,5:42:36,9922.487697,0.0,64.35733,4.233333333333333
255,9/10/2020,5:42:37,9922.496481,0.0,64.46151,4.25
256,9/10/2020,5:42:38,9905.421969,0.0,64.617783,4.266666666666667
257,9/10/2020,5:42:39,9919.297269,0.0,64.617783,4.283333333333333
258,9/10/2020,5:42:40,9926.247653999999,0.0,64.695908,4.3
259,9/10/2020,5:42:41,9917.903322,0.0,64.66986800000001,4.316666666666666
260,9/10/2020,5:42:42,9914.677731000002,0.0,64.40941600000001,4.333333333333333
261,9/10/2020,5:42:43,9918.733005,0.0,64.331276,4.35
262,9/10/2020,5:42:44,9900.70137,0.0,64.35733,4.366666666666666
263,9/10/2020,5:42:45,9893.067192,0.0,64.53965,4.383333333333334
264,9/10/2020,5:42:46,9890.391798,0.0,64.617783,4.4
265,9/10/2020,5:42:47,9893.638476,0.0,64.721962,4.416666666666667
266,9/10/2020,5:42:48,9871.614846,0.0,64.721962,4.433333333333334
267,9/10/2020,5:42:49,9880.005762,0.0,64.643822,4.45
268,9/10/2020,5:42:50,9874.866798000001,0.0,64.591728,4.466666666666667
269,9/10/2020,5:42:51,9859.637106,0.0,64.591728,4.483333333333333
270,9/10/2020,5:42:52,9844.838964,0.0,64.51359599999999,4.5
271,9/10/2020,5:42:53,9824.108202,0.0,64.487549,4.516666666666667
272,9/10/2020,5:42:54,9805.282029,0.0,64.591728,4.533333333333333
273,9/10/2020,5:42:55,9807.334281,0.0,64.591728,4.55
274,9/10/2020,5:42:56,9780.534666,0.0,64.487549,4.566666666666666
275,9/10/2020,5:42:57,9764.143947,0.0,64.487549,4.583333333333333
276,9/10/2020,5:42:58,9753.571584000001,0.0,64.487549,4.6
277,9/10/2020,5:42:59,9751.743459000001,0.0,64.617783,4.616666666666666
278,9/10/2020,5:43:00,9716.842089,0.0,64.826141,4.633333333333334
279,9/10/2020,5:43:01,9718.347654,0.0,64.904274,4.65
280,9/10/2020,5:43:02,9719.760059999999,0.0,64.982414,4.666666666666667
281,9/10/2020,5:43:03,9728.504298,0.0,64.904274,4.683333333333334
282,9/10/2020,5:43:04,9737.399709000001,0.0,64.85218,4.7
283,9/10/2020,5:43:05,9736.293168,0.0,65.08659399999999,4.716666666666667
284,9/10/2020,5:43:06,9725.623245,0.0,65.08659399999999,4.733333333333333
285,9/10/2020,5:43:07,9743.473827,0.0,65.242867,4.75
286,9/10/2020,5:43:08,9739.176858,0.0,65.164726,4.766666666666667
287,9/10/2020,5:43:09,9744.39756,0.0,65.008453,4.783333333333333
288,9/10/2020,5:43:10,9739.09863,0.0,65.060547,4.8
289,9/10/2020,5:43:11,9713.319435,0.0,65.08659399999999,4.816666666666666
