"API","operator","well","section","twn","rng","reservoir","field","firstProd","cumOil","cumGas","fluid","proppant","TVD","perf","surfLat","surfLong","bhLat","bhLong","ppf","gor"
"3301301471","LIME ROCK III-A","TRUE BLONDE   16-15H","16","160","91","Middle Bakken","DIMOND",2015-05-01,4084,2558,NA,NA,8423.42,5880,48.677542177,-102.436176244,48.689782869,-102.449008399,NA,0.626346718903036
"3301301472","LIME ROCK III-A","MAD HATTER  16-4H","16","160","90","Middle Bakken","DIMOND",2015-05-01,5193,3662,NA,NA,7938.79,6445,48.690515261,-102.320014185,48.679177444,-102.301320373,NA,0.705180050067398
"3301301473","OASIS","BARENTHSEN  6059 44-5H","5","159","92","Middle Bakken","COTTONWOOD",2015-05-01,7867,8212,NA,NA,8872.98,10548,48.619449394,-102.583426353,48.646595364,-102.594216945,NA,1.04385407397992
"3301301475","LIME ROCK III-A","FEAST OF FOOLS  12-16H","12","160","91","Middle Bakken","DIMOND",2015-05-01,3095,3063,NA,NA,8007.06,6693,48.691841177,-102.365079763,48.704113383,-102.383566557,NA,0.989660743134087
"3301301478","31","KALLBERG  1 H","18","159","90","Middle Bakken","THOMPSON LAKE",2015-05-01,3992,1898,NA,NA,8654.3,5596,48.602668459,-102.362819758,48.591306784,-102.349447857,NA,0.475450901803607
"3301301480","EOG","KANDIYOHI  2-20H","20","159","90","Middle Bakken","VANVILLE",2015-05-01,4197,6470,NA,NA,8655.71,5677,48.58742441,-102.342126503,48.576808675,-102.32755213,NA,1.54157731713128
"3301301482","OASIS","EDWARDS  6092 42-35H","35","160","92","Middle Bakken","COTTONWOOD",2015-05-01,19648,32707,NA,NA,8733.87,10326,48.634082678,-102.529776814,48.66164125,-102.529781212,NA,1.66464780130293
"3301301484","RIM","GUNNISON STATE  44-36H","36","161","91","Middle Bakken","LITTLE BUTTE",2015-05-01,3920,3816,NA,NA,8158.63,6098,48.721070977,-102.419285796,48.733044181,-102.434822152,NA,0.973469387755102
"3301301485","OASIS","ERNST  6092 42-31H","31","160","92","Middle Bakken","COTTONWOOD",2015-05-01,8130,9313,NA,NA,8876.34,9951,48.634160224,-102.619069217,48.660791299,-102.620100749,NA,1.14551045510455
"3301301486","EOG","KANDIYOHI  1-19H","19","159","90","Middle Bakken","CLEAR WATER",2015-05-01,4387,6929,NA,NA,8643.25,5966,48.577189902,-102.344071611,48.589070296,-102.35919611,NA,1.57943925233645
